op_count_g,time_aware_group_id,num_ops,first_op_idx,last_op_idx,group_time_s,group_peak_memory_gb_est_sum,group_peak_memory_gb_est_max,job_names
1,1,1,1,1,399.67422194220126,23.711090087890625,23.711090087890625,mobilenet_v2_sub_model_1
1,2,1,2,2,22.550449412316084,5.707603454589844,5.707603454589844,mobilenet_v2_sub_model_2
1,3,1,3,3,190.91123869083822,13.235649108886719,13.235649108886719,mobilenet_v2_sub_model_3
1,4,1,4,4,24.92358773946762,6.213420867919922,6.213420867919922,mobilenet_v2_sub_model_4
1,5,1,5,5,145.11151876859367,7.729244232177734,7.729244232177734,mobilenet_v2_sub_model_5
1,6,1,8,8,149.25399302318692,15.285148620605469,15.285148620605469,mobilenet_v2_sub_model_8
1,7,1,9,9,21.52093225158751,12.665264129638672,12.665264129638672,mobilenet_v2_sub_model_9
1,8,1,10,10,123.8800199907273,13.934524536132812,13.934524536132812,mobilenet_v2_sub_model_10
1,9,1,11,11,454.98756063356996,25.070873260498047,25.070873260498047,mobilenet_v2_sub_model_11
1,10,1,12,12,41.64965530112386,10.672889709472656,10.672889709472656,mobilenet_v2_sub_model_12
1,11,1,13,13,305.8122110776603,26.27075958251953,26.27075958251953,mobilenet_v2_sub_model_13
1,12,1,14,14,42.69314934313297,10.637760162353516,10.637760162353516,mobilenet_v2_sub_model_14
1,13,1,15,15,168.22418362647295,24.565471649169922,24.565471649169922,mobilenet_v2_sub_model_15
1,14,1,16,16,4.144616633653641,8.316020965576172,8.316020965576172,mobilenet_v2_sub_model_16
1,15,1,17,17,447.1619139481336,24.447032928466797,24.447032928466797,mobilenet_v2_sub_model_17
1,16,1,18,18,42.304214453324676,10.699748992919922,10.699748992919922,mobilenet_v2_sub_model_18
1,17,1,19,19,76.45181535370648,9.357837677001953,9.357837677001953,mobilenet_v2_sub_model_19
1,18,1,20,20,12.180485168471932,8.364643096923828,8.364643096923828,mobilenet_v2_sub_model_20
1,19,1,21,21,39.10766655392945,9.291252136230469,9.291252136230469,mobilenet_v2_sub_model_21
1,20,1,22,22,109.41017912514508,9.321723937988281,9.321723937988281,mobilenet_v2_sub_model_22
1,21,1,23,23,11.727696301415563,8.414810180664062,8.414810180664062,mobilenet_v2_sub_model_23
1,22,1,24,24,74.75987492315471,9.93880844116211,9.93880844116211,mobilenet_v2_sub_model_24
1,23,1,25,25,11.98024346679449,8.413806915283203,8.413806915283203,mobilenet_v2_sub_model_25
1,24,1,26,26,39.46071615628898,9.332664489746094,9.332664489746094,mobilenet_v2_sub_model_26
1,25,1,27,27,1.6645172573626041,8.44644546508789,8.44644546508789,mobilenet_v2_sub_model_27
1,26,1,28,28,106.53107063286006,9.353240966796875,9.353240966796875,mobilenet_v2_sub_model_28
1,27,1,29,29,12.067036664113402,8.526142120361328,8.526142120361328,mobilenet_v2_sub_model_29
1,28,1,30,30,74.30287135019898,9.4967041015625,9.4967041015625,mobilenet_v2_sub_model_30
1,29,1,31,31,12.206650098785758,8.519126892089844,8.519126892089844,mobilenet_v2_sub_model_31
1,30,1,32,32,40.07707108184695,9.375473022460938,9.375473022460938,mobilenet_v2_sub_model_32
1,31,1,33,33,1.8975967559963465,8.512752532958984,8.512752532958984,mobilenet_v2_sub_model_33
1,32,1,34,34,108.6847748439759,9.420665740966797,9.420665740966797,mobilenet_v2_sub_model_34
1,33,1,35,35,11.598792416974902,8.514415740966797,8.514415740966797,mobilenet_v2_sub_model_35
1,34,1,36,36,19.97222336754203,8.525279998779297,8.525279998779297,mobilenet_v2_sub_model_36
1,35,1,37,37,4.261732451617718,8.52535629272461,8.52535629272461,mobilenet_v2_sub_model_37
1,36,1,38,38,20.88679201155901,8.965293884277344,8.965293884277344,mobilenet_v2_sub_model_38
1,37,1,39,39,74.19649175181985,9.490253448486328,9.490253448486328,mobilenet_v2_sub_model_39
1,38,1,40,40,6.8250437173992395,8.632133483886719,8.632133483886719,mobilenet_v2_sub_model_40
1,39,1,41,41,34.46090629324317,8.640457153320312,8.640457153320312,mobilenet_v2_sub_model_41
