model,raw_model,group_size,job_label,job_time_s,proof_time_s,witness_time_s,memory_gb,report_path
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_29,12.067036664113402,11.092359367758036,0.9746772963553668,8.526142120361328,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_30,74.30287135019898,73.5702051371336,0.7326662130653858,9.4967041015625,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_31,12.206650098785756,11.228592075407503,0.978058023378253,8.519126892089844,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_32,40.07707108184695,39.660011168569326,0.417059913277626,9.375473022460938,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_33,1.8975967559963465,1.7419510632753372,0.1556456927210092,8.512752532958984,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_34,108.6847748439759,108.20608728937805,0.4786875545978546,9.420665740966797,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_35,11.598792416974902,10.609376292675734,0.9894161242991686,8.514415740966797,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_36,19.97222336754203,19.56020042859018,0.4120229389518499,8.525279998779297,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_37,4.261732451617718,3.979005916044116,0.2827265355736017,8.52535629272461,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_38,20.88679201155901,20.723294043913484,0.1634979676455259,8.965293884277344,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_39,74.19649175181985,73.93394004181027,0.2625517100095749,9.490253448486328,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_40,6.8250437173992395,6.301711320877075,0.5233323965221643,8.632133483886719,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_41,34.46090629324317,34.101119730621576,0.3597865626215935,8.640457153320312,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_42,10.824215533211827,10.30881841108203,0.5153971221297979,8.642280578613281,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_43,27.8376360591501,27.585687953978777,0.2519481051713228,9.519878387451172,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_44,1.2442102450877428,1.152261944487691,0.0919483006000518,8.659503936767578,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_45,72.21491721644998,71.94263343885541,0.2722837775945663,9.564838409423828,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_46,7.0382744036614895,6.517586622387171,0.5206877812743187,8.70449447631836,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
