commit_to_permutations_time,commit_to_permutations_cpu,commit_vanishing_argument_random_poly_time,commit_vanishing_argument_random_poly_cpu,compute_and_hash_advice_evals_time,compute_and_hash_advice_evals_cpu,compute_and_hash_instance_evals_time,compute_and_hash_instance_evals_cpu,construct_and_commit_to_lookup_permuted_values_time,construct_and_commit_to_lookup_permuted_values_cpu,create_proof_time,create_proof_cpu,eval_h_x_poly_time,eval_h_x_poly_cpu,eval_lookups_time,eval_lookups_cpu,eval_permutations_time,eval_permutations_cpu,eval_shuffles_time,eval_shuffles_cpu,eval_vanishing_time,eval_vanishing_cpu,h_x_pieces_commitments_time,h_x_pieces_commitments_cpu,query_instance_time,query_instance_cpu,shuffles_time,shuffles_cpu
1.313351,64.01,0.351274,93.78,0.013820,88.16,0.000000,88.16,0.545514,41.58,1.263578,75.27,5.245846,31.84,0.036545,88.16,0.043984,88.16,0.000518,88.16,0.014441,88.16,1.750331,88.16,0.000846,88.16,0.001249,77.29
1.337688,65.41,0.371874,93.88,0.014858,88.01,0.000000,88.01,0.624184,42.63,1.023882,77.44,5.393814,32.07,0.031921,88.01,0.037971,88.01,0.000004,88.01,0.013295,88.01,1.552540,88.01,0.000118,88.01,0.000049,75.54
1.351446,63.55,0.374619,93.67,0.015215,87.71,0.000000,87.71,0.571347,48.52,1.114839,77.56,5.441369,31.63,0.035513,87.71,0.041663,87.71,0.000004,87.71,0.013689,87.71,1.734954,87.71,0.000121,87.71,0.000075,78.10
