op_count_g,num_jobs,estimated_agg_time_s,estimated_max_job_time_s,estimated_peak_mem_gb
1,181,1002.7536902287976,6.153881946701253,3.1514111810201237
2,91,1132.6921719399832,33.12520312021951,6.240766584062083
4,46,1197.661412795575,53.98180647271673,8.795368569691082
8,23,1230.867913677323,138.23574189265565,19.44071902898526
16,12,1246.7492836642455,138.23574189265565,19.44071902898526
32,6,1255.4118491116578,221.85023503176825,28.74525772712831
