op_count_g,time_aware_group_id,start_op,end_op,num_ops,sum_g1_time_s,pred_group_time_s,pred_group_peak_mem_gb
1,1,1,1,1,7.418433913961053,5.545301849567308,2.5328267661313952
1,2,2,2,1,4.041403268929571,5.491253587342524,2.5069930441240755
1,3,3,3,1,2.9330345310736448,5.473514511070437,2.4857186034853633
1,4,4,4,1,4.170961844036356,5.49332712962771,2.5303673569751317
1,5,5,5,1,4.071913081104867,5.491741886828733,2.5362461168704447
1,6,6,6,1,2.805903956061229,5.471479828126364,2.5085370678096224
1,7,7,7,1,4.071534941904248,5.491735834835482,2.5408636299894787
1,8,8,8,1,5.274641711032018,5.510991162067381,2.5476357178742868
1,9,9,9,1,34.799867353984155,5.983532665397834,2.7791175134099575
1,10,10,10,1,2.864048273069784,5.472410408752626,2.7097559991085767
1,11,11,11,1,2.6684925471199676,5.4692806038243695,2.7107146172424885
1,12,12,12,1,2.79324033507146,5.471277151047026,2.7121408539783096
1,13,13,13,1,2.6437243400141597,5.468884196834559,2.7135273872479306
1,14,14,14,1,2.60766807210166,5.468307128152683,2.715205961568932
1,15,15,15,1,2.6850606669904664,5.469545771121163,2.7169295331516268
1,16,16,16,1,2.644650678965263,5.468899022584101,2.7179137379637566
1,17,17,17,1,27.564382700016722,5.867731118711726,2.722520663491804
1,18,18,18,1,4.316264751018026,5.495652654754385,2.724018366466784
1,19,19,19,1,3.1437794640660286,5.47688741425024,2.724502307604797
1,20,20,20,1,30.294054273050275,5.91141861239317,3.036939029572183
1,21,21,21,1,14.034767498844303,5.651194087497853,2.744535794349954
1,22,22,22,1,2.5911888359114523,5.468043383409892,2.7450184120390935
1,23,23,23,1,2.723181020002812,5.47015587480463,2.745040469520316
1,24,24,24,1,13.872845532139761,5.64860257979884,2.7458310096473157
1,25,25,25,1,2.7565573260653764,5.470690051580554,2.7469069735813294
1,26,26,26,1,3.750030330964364,5.486590259522412,2.736301295460121
1,27,27,27,1,2.6838958949083462,5.469527129327959,2.73630217775937
1,28,28,28,1,3.89845929807052,5.488965816210863,2.736761414518414
1,29,29,29,1,3.644526137039065,5.484901699678432,2.7388312885562955
1,30,30,30,1,2.5045038040261716,5.466656018050566,2.7388392292495354
1,31,31,31,1,3.7669959060149267,5.48686178795834,2.740362077753109
1,32,32,32,1,5.1055972799658775,5.508285661674204,2.741850516585976
1,33,33,33,1,43.329791427007876,6.120051288269846,2.910476431331911
1,34,34,34,1,4.245940952911042,5.494527145548147,2.7711874077609893
1,35,35,35,1,4.283676347928122,5.4951310881058015,2.7712601974490223
1,36,36,36,1,4.343917790101841,5.496095232529008,2.771735756744171
1,37,37,37,1,4.320689776912332,5.495723475835099,2.7726251143870457
1,38,38,38,1,3.1356618219288066,5.476757494063841,2.773278456980844
1,39,39,39,1,4.141941763926297,5.4928626728121115,2.7734315359005257
1,40,40,40,1,4.466635019052774,5.498059281324241,2.7734553579802457
1,41,41,41,1,2.953062033979222,5.4738350446523105,2.7734672690201054
1,42,42,42,1,4.372239897027612,5.496548518513882,2.773937975669385
1,43,43,43,1,21.504925352870487,5.770751501390131,2.918602848563756
1,44,44,44,1,2.7581398569745943,5.47071537946607,2.7902543356789944
1,45,45,45,1,3.8009855139534925,5.487405780428614,2.790726365777147
1,46,46,46,1,2.7720345619600266,5.470937759638928,2.790794743968936
1,47,47,47,1,3.9730669650016353,5.490159887325439,2.790894002634435
1,48,48,48,1,3.7035854079294945,5.485846923839956,2.79134838674761
1,49,49,49,1,2.5827853659866378,5.467908888643977,2.7913602977874703
1,50,50,50,1,4.105944814044051,5.492286553495755,2.7915504332756047
1,51,51,51,1,5.226392200915143,5.510218944563565,2.7917215993298883
1,52,52,52,1,35.201854881015606,5.989966343251499,2.8740229144154004
1,53,53,53,1,2.881841220892966,5.472695179017034,2.799490685365935
1,54,54,54,1,2.6047411549370736,5.468260283808332,2.7994359828125046
1,55,55,55,1,2.7906577719841152,5.471235817976163,2.799888602327182
1,56,56,56,1,2.626090957899578,5.468601980366716,2.7999503632746037
1,57,57,57,1,2.6039138860069215,5.468247043641817,2.8004863600683008
1,58,58,58,1,2.6894674979848787,5.469616300998503,2.8004885658164227
1,59,59,59,1,2.610490955063142,5.46835230746391,2.800505770651776
1,60,60,60,1,27.378891744068824,5.864762397109466,2.8005141524946406
1,61,61,61,1,4.160228644032031,5.493155348299875,2.8007219339677527
1,62,62,62,1,3.1799243049463257,5.477465900513266,2.8012967519284007
1,63,63,63,1,30.409774183062837,5.913270671405483,3.1092708042949324
1,64,64,64,1,14.116306501091458,5.652499092349226,2.8303936577077176
1,65,65,65,1,2.6043501240201294,5.468254025487411,2.8303945400069663
1,66,66,66,1,2.632899433840066,5.468710947779708,2.8304095390941972
1,67,67,67,1,13.749451245064847,5.646627694911528,2.8304236558821794
1,68,68,68,1,2.6312603779369965,5.4686847152302995,2.8303151330745666
1,69,69,69,1,3.6210847600596026,5.4845265281674,2.8303402786031597
1,70,70,70,1,2.6651345560094346,5.469226860283618,2.8314559460033735
1,71,71,71,1,3.8515559231163934,5.488215143156569,2.831929740700024
1,72,72,72,1,3.760126303997822,5.486751842242643,2.8319301818496485
1,73,73,73,1,2.448626473080367,5.46576171978892,2.831941651739884
1,74,74,74,1,3.7391088659642264,5.48641546507538,2.831946504385753
1,75,75,75,1,5.015306178946048,5.506840582367132,2.8027274001604656
1,76,76,76,1,45.44359056802932,6.153881946701253,2.9252664136409514
1,77,77,77,1,4.170802525943145,5.493324579794148,2.8154033934691802
1,78,78,78,1,4.106444458011538,5.492294550132746,2.815403834618805
1,79,79,79,1,4.320128871127963,5.495714498722925,2.816375246091826
1,80,80,80,1,4.183433416881598,5.493526733039805,2.816436124739999
1,81,81,81,1,3.116199456038885,5.476446005313603,2.816766545808706
1,82,82,82,1,4.236169264069758,5.494370752889511,2.817470179459691
1,83,83,83,1,4.365095951012336,5.4964341820129325,2.817600318598901
1,84,84,84,1,2.8897644721437246,5.472821988041377,2.8177591324637
1,85,85,85,1,4.379678571945988,5.496667572053767,2.8178200111118734
1,86,86,86,1,21.60926213604398,5.772421377209868,2.9590999429379012
1,87,87,87,1,2.698838591924868,5.469766282267801,2.829104618505098
