g,job_id,start_op,end_op,num_ops,sum_op_time_s,max_op_time_s,sum_op_mem_gb,max_op_mem_gb,actual_time_s,actual_mem_gb
8,4,25,32,8,28.110565977054648,5.1055972799658775,28.200706481933594,3.588970184326172,8.586218856973574,4.0037689208984375
8,5,33,40,8,72.26825489976909,43.329791427007876,31.6707763671875,5.003383636474609,28.5110157111194,5.970890045166016
8,6,41,48,8,45.838039589696564,21.504925352870487,32.55776596069336,5.073654174804688,45.77995456708595,5.922332763671875
8,7,49,56,8,58.02030836767517,35.201854881015606,32.794654846191406,4.688163757324219,109.09888967103326,13.562564849853516
8,8,57,64,8,87.14899771625642,30.409774183062837,35.356441497802734,6.722393035888672,17.371522684930824,4.019222259521484
8,9,65,72,8,35.51586272404529,13.749451245064847,34.52217102050781,4.324180603027344,42.65555425011553,7.815269470214844
8,10,73,80,8,73.42744135798421,45.44359056802932,34.593955993652344,5.131275177001953,51.5261342630256,6.757671356201172
8,11,81,88,8,46.94059442717116,21.60926213604398,35.019622802734375,5.423839569091797,30.50314441404771,4.0045928955078125
8,12,89,96,8,57.938835601788014,33.8081999089336,35.11582565307617,4.974353790283203,78.98658850893844,11.728782653808594
8,13,97,104,8,46.65259866474662,26.513343127910048,34.66746520996094,4.337177276611328,70.49566139199305,8.549457550048828
8,14,105,112,8,72.76217010943219,30.484129125019535,38.64600372314453,6.944400787353516,34.20495650195517,7.181930541992188
8,15,113,120,8,69.96800991310738,44.024808370973915,38.01600646972656,5.517345428466797,38.77414306404535,5.777469635009766
8,16,121,128,8,32.07648140296806,4.482562132063322,36.89145278930664,4.619361877441406,108.03590648598038,13.996273040771484
8,17,129,136,8,44.46218251995742,21.624864713056013,38.24496841430664,5.632598876953125,19.806687705102377,5.1234893798828125
8,18,137,144,8,55.317924973904155,34.12094343802892,37.72788619995117,5.085575103759766,68.4217586829327,8.977279663085938
8,19,145,152,8,86.21529299905524,30.33025460899808,39.773155212402344,7.086788177490234,39.96393882692792,8.217350006103516
8,20,153,160,8,36.91915904486086,13.620637079933658,37.46849822998047,4.685348510742188,21.452600557007827,5.185115814208984
