model,group_size,num_jobs,agg_time_s,max_job_time_s,max_job_memory_gb,agg_witness_time_s,agg_proof_time_s,max_witness_time_s,max_proof_time_s,num_reports
mobilenet_v2,|V|,1.0,7857.859937228262,7857.859937228262,587.600170135498,47.31256336905062,7810.547373859212,47.31256336905062,7810.547373859212,1
mobilenet_v2,8,13.0,8370.765382450074,1939.4300817679614,148.24867248535156,72.0448332875967,8298.720549162477,22.30745094642043,1917.122630821541,1
mobilenet_v2,6,17.0,7964.390079217032,1765.7113546710461,148.42868041992188,73.33014776743948,7891.059931449592,15.179666826501489,1752.1139683816582,1
mobilenet_v2,4,25.0,7999.193914765492,1033.8187635745853,75.93944931030273,71.43752316758037,7927.756391597912,12.466999039053915,1021.3517645355314,1
mobilenet_v2,1,98.0,5361.522704120725,454.98756063356996,45.26755905151367,70.45484420470893,5291.0678599160165,3.628745272755623,452.89445282518864,1
nano_gpt_4_layers,|V|,1.0,4068.088066099211,4068.088066099211,556.4120330810547,8.30193261615932,4059.786133483052,8.30193261615932,4059.786133483052,1
nano_gpt_4_layers,10,10.0,742.6374977939704,159.78376033500535,25.616737365722656,8.033037769055227,734.6044600249152,1.43188616502448,158.95312854499207,1
nano_gpt_4_layers,8,17.0,915.3799164658994,156.94386609300273,25.74579620361328,9.294543764961418,906.085372700938,1.0813652260112576,156.17547158402158,1
nano_gpt_4_layers,6,25.0,778.8408276929986,85.72139649800374,14.465259552001951,10.244150230981177,768.5966774620174,0.9136788299947513,84.96325399301713,1
nano_gpt_4_layers,4,39.0,774.8647509193397,85.99161922599887,14.628211975097656,9.743965504225343,765.1207854151144,0.6456401790492237,85.37726589397062,1
nano_gpt_4_layers,2,85.0,881.8027830609353,68.18410287500592,13.24612808227539,11.772604940691961,870.0301781202434,0.3408548419829458,67.90686966100475,1
nano_gpt_4_layers,1,190.0,930.4133117796155,46.40695951401722,7.908592224121094,15.954836163786233,914.4584756158292,0.2412893320433795,46.27633136999793,1
