op_count_g,num_groups,aggregate_time_s,max_job_time_s,peak_memory_gb_est_sum
1,98,5361.522704120725,454.98756063356996,45.26755905151367
2,49,5361.522704120725,454.98756063356996,46.833377838134766
4,25,5361.522704120725,454.98756063356996,102.57743835449219
8,13,5361.522704120725,619.5307142082602,173.3229637145996
|V|,1,5361.522704120725,5361.522704120725,1040.8642311096191
